,costo,dim,gap,heuristica,instancia,tiempo
0,12861.0,48.0,0.21010538200978549,NN,att48,0.059506
1,2005.0,29.0,0.2453416149068323,NN,bayg29,0.037305
2,2258.0,29.0,0.11782178217821782,NN,bays29,0.041774
3,8980.0,52.0,0.19066560594006896,NN,berlin52,0.088307
4,135737.0,127.0,0.14757105899460612,NN,bier127,0.698848
5,30774.0,58.0,0.21181334908446545,NN,brazil58,0.115078
6,12360.0,180.0,5.338461538461538,NN,brg180,1.82032
7,4048.0,14.0,0.21817634667469155,NN,burma14,0.012812
8,7579.0,130.0,0.2404255319148936,NN,ch130,1.63407
9,8191.0,150.0,0.25474877450980393,NN,ch150,1.39117
10,18240.0,198.0,0.155893536121673,NN,d198,2.39025
11,956.0,42.0,0.3676680972818312,NN,dantzig42,0.052621
12,511.0,51.0,0.19953051643192488,NN,eil51,0.144265
13,642.0,76.0,0.19330855018587362,NN,eil76,0.303915
14,1112.0,26.0,0.18676627534685167,NN,fri26,0.0268
15,2187.0,17.0,0.04892086330935252,NN,gr17,0.013611
16,3333.0,21.0,0.23125230882896194,NN,gr21,0.023768
17,1553.0,24.0,0.2209119496855346,NN,gr24,0.017311
18,6098.0,48.0,0.2084819659135949,NN,gr48,0.124919
19,70916.0,96.0,0.28450071546305855,NN,gr96,0.644287
20,9351.0,120.0,0.3470181503889369,NN,gr120,0.626236
21,93912.0,137.0,0.3444232889067041,NN,gr137,0.667569
22,13181.0,48.0,0.1500741645580665,NN,hk48,0.125435
23,27807.0,100.0,0.3065971243304201,NN,kroA100,0.527447
24,29158.0,100.0,0.31692335486202067,NN,kroB100,0.462648
25,26227.0,100.0,0.2640127235047472,NN,kroC100,0.79133
26,26947.0,100.0,0.26547384239691935,NN,kroD100,0.624892
27,27460.0,100.0,0.24433568968642377,NN,kroE100,0.615384
28,33633.0,150.0,0.2680214145679385,NN,kroA150,1.38741
29,34499.0,150.0,0.320283199387677,NN,kroB150,1.38485
30,20356.0,105.0,0.4156756380833159,NN,lin105,0.912958
31,153462.0,76.0,0.4188555737386625,NN,pr76,0.385512
32,46680.0,107.0,0.053653251472812226,NN,pr107,0.549058
33,69297.0,124.0,0.17392851092664746,NN,pr124,1.41779
34,120769.0,136.0,0.24797462075807053,NN,pr136,1.06558
35,61652.0,144.0,0.053214206399371335,NN,pr144,1.64698
36,85699.0,152.0,0.1630927499253549,NN,pr152,1.42632
37,1554.0,99.0,0.2832369942196532,NN,rat99,0.781853
38,2752.0,195.0,0.18467498923805423,NN,rat195,4.90273
39,9938.0,100.0,0.2563843236409608,NN,rd100,0.807333
40,22263.0,175.0,0.039986920166300746,NN,si175,3.64697
41,830.0,70.0,0.22962962962962963,NN,st70,0.244485
42,1630.0,42.0,0.28043990573448546,NN,swiss42,0.053555
43,54675.0,159.0,0.29931083650190116,NN,u159,1.62677
44,9988.0,16.0,0.4561889488263595,NN,ulysses16,0.011963
45,10586.0,22.0,0.5094823898474262,NN,ulysses22,0.024953
46,10876.0,48.0,0.023334587881068874,FI,att48,1.02134
47,1738.0,29.0,0.07950310559006211,FI,bayg29,0.26324
48,2028.0,29.0,0.0039603960396039604,FI,bays29,0.195976
49,8312.0,52.0,0.1020949350304959,FI,berlin52,1.13258
50,129723.0,127.0,0.0967264672562182,FI,bier127,7.94792
51,26524.0,58.0,0.044457570387871626,FI,brazil58,1.90922
52,2672.0,180.0,0.37025641025641026,FI,brg180,13.023
53,3323.0,14.0,0.0,FI,burma14,0.041663
54,6433.0,130.0,0.05286415711947627,FI,ch130,7.79689
55,7067.0,150.0,0.08256740196078431,FI,ch150,8.62231
56,16260.0,198.0,0.030418250950570342,FI,d198,15.6285
57,747.0,42.0,0.06866952789699571,FI,dantzig42,0.947662
58,463.0,51.0,0.08685446009389672,FI,eil51,1.48433
59,585.0,76.0,0.08736059479553904,FI,eil76,3.53776
60,937.0,26.0,0.0,FI,fri26,0.272188
61,2095.0,17.0,0.004796163069544364,FI,gr17,0.068777
62,2816.0,21.0,0.040265977096416695,FI,gr21,0.186242
63,1319.0,24.0,0.036949685534591194,FI,gr24,0.24034
