instancia,dim,heuristica,tiempo,costo,gap,iteraciones,memoria,vecindad
att48,48,TS-C,29.5157,11348,0.06774557771923222,50,50,10
att48,48,TS-C,67.5813,11045,0.03923598042905532,100,50,10
att48,48,TS-C,77.4549,11303,0.0635114791117802,100,100,10
att48,48,TS-C,101.37,10836,0.01957094467444486,200,50,10
att48,48,TS-C,128.826,10949,0.030203236733157696,200,100,10
att48,48,TS-C,119.635,11061,0.04074143771170493,200,200,10
att48,48,TS-C,289.584,10924,0.027850959729017688,500,50,10
att48,48,TS-C,236.798,11058,0.04045916447120813,500,100,10
att48,48,TS-C,239.625,10892,0.024840045163718478,500,200,10
att48,48,TS-C,254.596,10958,0.0310500564546481,500,500,10
att48,48,TS-C,439.018,11002,0.03519006398193451,1000,50,10
att48,48,TS-C,475.654,10690,0.005833646970267219,1000,100,10
att48,48,TS-C,447.834,10658,0.002822732404968009,1000,200,10
att48,48,TS-C,495.271,10777,0.014019570944674445,1000,500,10
att48,48,TS-C,479.215,10780,0.014301844185171246,1000,1000,10
att48,48,TS-C,33.1662,11103,0.044693263078660145,50,50,20
att48,48,TS-C,63.1481,10987,0.03377869777945051,100,50,20
att48,48,TS-C,53.639,10789,0.015148663906661648,100,100,20
att48,48,TS-C,103.253,10913,0.026815957847196085,200,50,20
att48,48,TS-C,114.161,10748,0.011290929619872036,200,100,20
att48,48,TS-C,115.882,10826,0.01863003387278886,200,200,20
att48,48,TS-C,272.438,10653,0.0023522770041400076,500,50,20
att48,48,TS-C,240.956,10707,0.007433195333082424,500,100,20
att48,48,TS-C,235.949,10906,0.026157320286036883,500,200,20
att48,48,TS-C,276.828,10877,0.023428678961234475,500,500,20
att48,48,TS-C,487.331,10964,0.0316146029356417,1000,50,20
att48,48,TS-C,507.268,10684,0.005269100489273617,1000,100,20
att48,48,TS-C,510.624,10648,0.001881821603312006,1000,200,20
att48,48,TS-C,512.01,10906,0.026157320286036883,1000,500,20
att48,48,TS-C,555.837,10772,0.013549115543846444,1000,1000,20
att48,48,TS-C,28.9346,10917,0.027192322167858485,50,50,50
att48,48,TS-C,58.3428,10906,0.026157320286036883,100,50,50
att48,48,TS-C,72.5897,10906,0.026157320286036883,100,100,50
